language,pattern,vulnerability,severity,description,ast_node_type,data_flow_required
javascript,"new Function\\(.*user",code-injection,critical,"Dynamic function creation with user input",NewExpression,true
javascript,"dangerouslySetInnerHTML.*\\{.*user",xss,critical,"React dangerouslySetInnerHTML with user data",JSXAttribute,true
javascript,"fetch\\(.*\\$\\{",ssrf,high,"Server-side request forgery via fetch",CallExpression,true
javascript,"jsonwebtoken\\.verify\\(.*\\{.*algorithm.*:",jwt-confusion,high,"JWT algorithm confusion vulnerability",CallExpression,false
javascript,".*\\.findOne\\(\\{.*\\$where",nosql-injection,critical,"MongoDB $where injection",CallExpression,true
typescript,"as any.*user",type-confusion,medium,"Type assertion bypassing safety with user input",TSAsExpression,true
python,"__import__\\(.*user",code-injection,critical,"Dynamic import with user input",Call,true
python,"jinja2.*autoescape.*False",xss,high,"Jinja2 with autoescaping disabled",keyword,false
python,"yaml\\.load\\((?!.*Loader)",deserialization,critical,"Unsafe YAML deserialization",Call,false
python,".*\\.raw\\(.*user",sql-injection,critical,"Django raw SQL with user input",Attribute,true
go,"ioutil\\.ReadFile\\(.*user",path-traversal,high,"File read with user-controlled path",CallExpr,true
go,"exec\\.Command\\(.*user",command-injection,critical,"Command execution with user input",CallExpr,true
go,"sql\\.Query\\(.*\\+.*user",sql-injection,critical,"SQL query with string concatenation",CallExpr,true
rust,"unsafe\\s*\\{",memory-safety,high,"Unsafe Rust block requiring review",Block,false
kotlin,"rawQuery\\(.*\\+",sql-injection,critical,"Android SQLite raw query with concatenation",MethodCall,true
swift,"evaluateJavaScript\\(",xss,high,"WKWebView JavaScript evaluation",FunctionCallExpression,true
swift,"UserDefaults.*set.*password",insecure-storage,high,"Password stored in UserDefaults",FunctionCallExpression,false
java,"Runtime\\.getRuntime\\(\\)\\.exec\\(",command-injection,critical,"Runtime exec with potential user input",MethodInvocation,true
java,"PreparedStatement.*\\+.*user",sql-injection,critical,"PreparedStatement with string concatenation",MethodInvocation,true
php,"extract\\(\\$_(GET|POST)",variable-injection,critical,"Extract with user input superglobals",FunctionCall,false
ruby,"send\\(.*params",code-injection,critical,"Dynamic method invocation with params",MethodCall,true
csharp,"SqlCommand.*\\+.*Request",sql-injection,critical,"SQL command with string concatenation",ObjectCreationExpression,true
solidity,"transfer\\(.*\\)",reentrancy,critical,"Ether transfer susceptible to reentrancy",MemberAccess,false
solidity,"tx\\.origin.*==",authorization-bypass,high,"Using tx.origin for authorization",BinaryExpression,false
terraform,"access_key.*=.*\"[A-Z0-9]{20}\"",hardcoded-secrets,critical,"AWS access key hardcoded in Terraform",Attribute,false
dockerfile,"ENV.*PASSWORD.*=",secret-in-env,high,"Password in environment variable",ENV,false
kubernetes,"privileged:\\s*true",privilege-escalation,high,"Privileged container enabled",Field,false
