vulnerability_type,owasp_top10,cwe_id,mitre_attack,nist_control,pci_dss,severity
sql-injection,A03:2021 - Injection,CWE-89,T1190 - Exploit Public-Facing Application,SI-10,6.5.1,critical
xss,A03:2021 - Injection,CWE-79,T1189 - Drive-by Compromise,SI-10,6.5.7,high
csrf,A01:2021 - Broken Access Control,CWE-352,T1550 - Use Alternate Authentication Material,AC-3,6.5.9,high
command-injection,A03:2021 - Injection,CWE-78,T1059 - Command and Scripting Interpreter,SI-10,6.5.1,critical
path-traversal,A01:2021 - Broken Access Control,CWE-22,T1083 - File and Directory Discovery,AC-3,6.5.8,high
authentication-bypass,A07:2021 - Identification and Authentication Failures,CWE-287,T1078 - Valid Accounts,IA-2,8.2,critical
weak-crypto,A02:2021 - Cryptographic Failures,CWE-327,T1573 - Encrypted Channel,SC-13,3.4,high
hardcoded-secrets,A02:2021 - Cryptographic Failures,CWE-798,T1552 - Unsecured Credentials,IA-5,8.2.1,critical
deserialization,A08:2021 - Software and Data Integrity Failures,CWE-502,T1027 - Obfuscated Files or Information,SI-10,6.5.1,critical
xxe,A05:2021 - Security Misconfiguration,CWE-611,T1190 - Exploit Public-Facing Application,SI-10,6.5.1,high
ssrf,A10:2021 - Server-Side Request Forgery,CWE-918,T1090 - Proxy,SC-7,6.5.10,high
authorization-bypass,A01:2021 - Broken Access Control,CWE-285,T1548 - Abuse Elevation Control Mechanism,AC-3,7.1,high
ldap-injection,A03:2021 - Injection,CWE-90,T1136 - Create Account,SI-10,6.5.1,high
xml-injection,A03:2021 - Injection,CWE-91,T1190 - Exploit Public-Facing Application,SI-10,6.5.1,high
sensitive-data-exposure,A02:2021 - Cryptographic Failures,CWE-200,T1005 - Data from Local System,SC-28,3.4,medium
insecure-redirect,A01:2021 - Broken Access Control,CWE-601,T1566 - Phishing,AC-3,6.5.1,medium
weak-session,A07:2021 - Identification and Authentication Failures,CWE-384,T1550.004 - Web Session Cookie,SC-23,6.5.10,high
missing-encryption,A02:2021 - Cryptographic Failures,CWE-311,T1040 - Network Sniffing,SC-8,4.1,high
race-condition,A04:2021 - Insecure Design,CWE-362,T1499 - Endpoint Denial of Service,SC-5,6.5.6,medium
buffer-overflow,A04:2021 - Insecure Design,CWE-120,T1203 - Exploitation for Client Execution,SI-16,6.5.2,critical
