rule,description,owasp_category,cwe_id
input-validation,"Validate and sanitize all user inputs",A03:2021,20
sql-injection,"Use parameterized queries for database operations",A03:2021,89
xss-prevention,"Escape output and use Content Security Policy",A03:2021,79
authentication,"Implement strong authentication with MFA",A07:2021,287
authorization,"Enforce proper access controls and RBAC",A01:2021,639
crypto-strong,"Use modern cryptographic algorithms (AES-256, SHA-256)",A02:2021,327
secure-random,"Use cryptographically secure random number generators",A02:2021,330
password-hashing,"Hash passwords with bcrypt, Argon2, or scrypt",A02:2021,916
session-security,"Use secure session management with HttpOnly cookies",A07:2021,384
csrf-protection,"Implement CSRF tokens on state-changing operations",A01:2021,352
command-injection,"Avoid shell execution, use safe APIs",A03:2021,78
path-traversal,"Validate and sanitize file paths",A01:2021,22
xxe-prevention,"Disable external entity processing in XML parsers",A05:2021,611
deserialization,"Avoid deserializing untrusted data",A08:2021,502
cors-config,"Configure CORS policies restrictively",A05:2021,942
security-headers,"Set security headers (CSP, HSTS, X-Frame-Options)",A05:2021,1021
rate-limiting,"Implement rate limiting on sensitive endpoints",A07:2021,307
error-handling,"Don't expose sensitive information in error messages",A05:2021,209
logging-security,"Don't log sensitive data (passwords, tokens)",A09:2021,532
dependency-scanning,"Keep dependencies updated and scan for vulnerabilities",A06:2021,1104
